id;Наименование продукта;kal
3477;Творог, (сыр домашний), обезжиренный, без доб. сливок, сухой, большие или маленькие зерна, 0.3%;230
3478;Творог, (сыр домашний), с овощами;277
3479;Творог, (сыр домашний), со сливками, большие или маленькие зерна, 4.3%;139
3480;Творог, (сыр домашний), со сливками, с фруктами, 3.85%;212
3481;Творог, жирный, 18%;215
3482;Творог, мягкий, диетический, 4%;109
3483;Творог, мягкий, диетический, нежирный, 0.6%;66
3484;Творог, мягкий, диетический, нежирный, плодово-ягодный, 0.5%;167
3485;Творог, мягкий, диетический, плодово-ягодный, 4%;139
3486;Творог, мягкий, диетический,11%;130
3487;Творог, нежирный, 0.6%;193
3488;Творог, полужирный, 9%;214
3489;Творожная масса, с изюмом, по 1-332;250
3490;Топпинг, сыр пармезан, обезжиренный, 5% жира;217
3491;эг-ногг;269
3492;Яичница, глазунья, по 1-312;114
3493;Яичный порошок, яйцо куриное;228
3494;Яйцо куриное, белок, сушеное, порошок, с пониженным содерж. глюкозы;161
3495;Яйцо куриное, белок, сушеный меланж, хлопья, с уменьшенным содерж. глюкозы;293
3496;Яйцо куриное, белок, сырой, замороженный;280
3497;Яйцо куриное, белок, сырой, свежий;104
3498;Яйцо куриное, болтунья, омлет, замороженная смесь;125
3499;Яйцо куриное, желток, сухой;80
3500;Яйцо куриное, желток, сырой, замороженный;289
3501;Яйцо куриное, желток, сырой, замороженный, с сахаром;134
3502;Яйцо куриное, желток, сырой, замороженный, соленый;200
3503;Яйцо куриное, желток, сырой, свежий;83
3504;Яйцо куриное, сухое;161
3505;Яйцо куриное, цельное, приготовленное, болтунья, омлет;281
3506;Яйцо куриное, цельное, приготовленное, жареное;182
3507;Яйцо куриное, цельное, приготовленное, омлет;212
3508;Яйцо куриное, цельное, приготовленное, пашот (сваренное без скорлупы);107
3509;Яйцо куриное, цельное, приготовленное, сваренное в крутую;110
3510;Яйцо куриное, цельное, сушеный меланж;173
3511;Яйцо куриное, цельное, сушеный меланж, стабилизированное, с уменьшенным содерж. глюкозы;72
3512;Яйцо куриное, цельное, сырое, замороженное;129
3513;Яйцо куриное, цельное, сырое, свежее;234
3514;Яйцо, гусиное, цельное, свежее, сырое;73
3515;Яйцо, индюшачье, цельное, свежее, сырое;111
3516;Яйцо, куриное, отварное, по 1-310;185
3517;Яйцо, куриное, целое;191
3518;Яйцо, перепелиное, целое;270
3519;Яйцо, перепелиное, цельное, свежее, сырое;229
3520;Яйцо, под майонезом, по 1-86;60
3521;Яйцо, утиное, цельное, свежее, сырое;141
3522;Apple cider-flavored drink, powder, added vitamin C and sugar;137
3523;Apple cider-flavored drink, powder, low calorie, with vitamin C, prepared;264
3524;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Berry Blend;160
3525;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Diet Berry Blend;220
3526;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Diet Fruit Medley;110
3527;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Diet Strawberry Kiwi;84
3528;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Diet Tropical Blend;203
3529;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Fruit Medley;256
3530;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Guava Passion Fruit;172
3531;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Mango Peach;86
3532;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Orange Pineapple;248
3533;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Orchard Blend;128
3534;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Strawberry Banana;131
3535;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Strawberry Kiwi;151
3536;CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Tropical Blend;206
3537;CAMPBELL Soup Company, V8 SPLASH Smoothies, Peach Mango;137
3538;CAMPBELL Soup Company, V8 SPLASH Smoothies, Strawberry Banana;172
3539;CAMPBELL Soup Company, V8 SPLASH Smoothies, Tropical Colada;144
